Latitude (decimal degrees):	28.482
Longitude (decimal degrees):	-16.306
Elevation (m):	503
Radiation database:	PVGIS-SARAH3


Slope: 26 deg. (optimum)
Azimuth: -1 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	5.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230102:0709,0.0,0.0,0.0,19.44,2.0,0.0
20230102:0809,0.0,2.88,1.38,19.44,2.07,0.0
20230102:0909,1269.45,327.25,12.67,19.48,2.28,0.0
20230102:1009,2261.0,565.95,22.76,19.99,2.48,0.0
20230102:1109,3040.05,768.6,31.03,19.92,2.55,0.0
20230102:1209,3435.1,880.76,36.6,19.83,2.34,0.0
20230102:1309,3339.25,861.99,38.59,19.73,1.79,0.0
20230102:1409,3213.2,813.56,36.6,19.69,2.83,0.0
20230102:1509,2777.05,686.54,31.01,19.53,4.34,0.0
20230102:1609,1730.85,427.16,22.74,19.37,4.97,0.0
20230102:1709,1032.55,267.19,12.64,19.29,5.1,0.0
20230102:1809,0.0,0.0,0.0,18.35,4.97,0.0
20230102:1909,0.0,0.0,0.0,17.67,5.93,0.0
20230102:2009,0.0,0.0,0.0,18.47,3.86,0.0
20230102:2109,0.0,0.0,0.0,18.73,2.69,0.0
20230102:2209,0.0,0.0,0.0,18.66,2.76,0.0
20230102:2309,0.0,0.0,0.0,18.63,2.97,0.0
20230103:0009,0.0,0.0,0.0,17.99,3.52,0.0
20230103:0109,0.0,0.0,0.0,17.49,3.17,0.0
20230103:0209,0.0,0.0,0.0,17.25,2.69,0.0
20230103:0309,0.0,0.0,0.0,17.01,3.03,0.0
20230103:0409,0.0,0.0,0.0,17.08,3.17,0.0
20230103:0509,0.0,0.0,0.0,17.34,3.59,0.0
20230103:0609,0.0,0.0,0.0,17.5,4.48,0.0
20230103:0709,0.0,0.0,0.0,17.57,5.17,0.0
20230103:0809,0.0,0.0,0.0,17.68,5.45,0.0
20230103:0909,23.25,15.35,12.64,17.75,5.72,0.0
20230103:1009,1158.6,291.27,22.76,19.01,5.03,0.0
20230103:1109,2968.25,727.32,31.06,19.14,5.72,0.0
20230103:1209,3470.0,855.04,36.67,19.12,6.07,0.0
20230103:1309,3722.55,920.81,38.69,19.01,6.07,0.0
20230103:1409,3539.35,871.31,36.71,18.89,6.14,0.0
20230103:1509,3156.95,771.67,31.14,18.89,6.21,0.0
20230103:1609,2305.55,561.79,22.88,18.91,6.41,0.0
20230103:1709,1276.95,325.26,12.78,18.96,6.48,0.0
20230103:1809,0.0,0.0,0.0,19.01,6.48,0.0
20230103:1909,0.0,0.0,0.0,19.01,6.34,0.0
20230103:2009,0.0,0.0,0.0,19.03,6.41,0.0
20230103:2109,0.0,0.0,0.0,19.01,6.28,0.0
20230103:2209,0.0,0.0,0.0,18.92,5.38,0.0
20230103:2309,0.0,0.0,0.0,18.89,5.24,0.0
20230104:0009,0.0,0.0,0.0,18.88,5.38,0.0
20230104:0109,0.0,0.0,0.0,18.84,5.59,0.0
20230104:0209,0.0,0.0,0.0,18.77,5.66,0.0
20230104:0309,0.0,0.0,0.0,18.69,5.72,0.0
20230104:0409,0.0,0.0,0.0,18.68,6.07,0.0
20230104:0509,0.0,0.0,0.0,18.68,6.34,0.0
20230104:0609,0.0,0.0,0.0,18.74,6.41,0.0
20230104:0709,0.0,0.0,0.0,18.73,6.41,0.0
20230104:0809,0.0,0.0,0.0,18.77,6.41,0.0
20230104:0909,745.6,196.51,12.63,18.86,6.69,0.0
20230104:1009,1760.6,433.11,22.77,19.03,5.24,0.0
20230104:1109,2545.25,622.95,31.09,19.11,5.59,0.0
20230104:1209,3028.55,744.48,36.73,19.14,5.79,0.0
20230104:1309,3492.6,862.17,38.79,19.06,6.07,0.0
20230104:1409,3313.55,814.79,36.84,19.02,6.14,0.0
20230104:1509,3020.15,738.27,31.28,19.01,6.21,0.0
20230104:1609,2162.7,528.11,23.02,19.07,6.28,0.0
20230104:1709,1259.15,321.17,12.92,19.15,6.14,0.0
20230104:1809,0.0,2.78,1.62,19.22,5.79,0.0
20230104:1909,0.0,0.0,0.0,19.23,5.52,0.0
20230104:2009,0.0,0.0,0.0,19.23,5.31,0.0
20230104:2109,0.0,0.0,0.0,19.2,5.17,0.0
20230104:2209,0.0,0.0,0.0,19.02,4.07,0.0
20230104:2309,0.0,0.0,0.0,18.98,4.21,0.0
20230105:0009,0.0,0.0,0.0,18.93,4.41,0.0
20230105:0109,0.0,0.0,0.0,18.81,4.83,0.0
20230105:0209,0.0,0.0,0.0,18.72,5.24,0.0
20230105:0309,0.0,0.0,0.0,18.67,5.59,0.0
20230105:0409,0.0,0.0,0.0,18.62,5.79,0.0
20230105:0509,0.0,0.0,0.0,18.6,6.0,0.0
20230105:0609,0.0,0.0,0.0,18.61,6.07,0.0
20230105:0709,0.0,0.0,0.0,18.59,6.28,0.0
20230105:0809,0.0,0.0,0.0,18.61,6.48,0.0
20230105:0909,918.1,237.58,12.62,18.65,6.34,0.0
20230105:1009,1853.1,455.7,22.78,18.71,4.62,0.0
20230105:1109,2905.2,716.17,31.13,18.82,4.55,0.0
20230105:1209,3609.65,899.9,36.81,18.79,4.69,0.0
20230105:1309,3657.7,911.13,38.9,18.7,4.97,0.0
20230105:1409,3648.75,904.02,36.97,18.6,5.38,0.0
20230105:1509,3232.65,793.28,31.43,18.6,5.59,0.0
20230105:1609,2414.5,589.57,23.16,18.57,5.59,0.0
20230105:1709,1355.25,344.18,13.06,18.56,5.31,0.0
20230105:1809,0.0,4.64,1.76,18.6,4.83,0.0
20230105:1909,0.0,0.0,0.0,18.64,4.55,0.0
20230105:2009,0.0,0.0,0.0,18.67,4.48,0.0
20230105:2109,0.0,0.0,0.0,18.63,4.48,0.0
20230105:2209,0.0,0.0,0.0,18.41,3.72,0.0
20230105:2309,0.0,0.0,0.0,18.35,4.0,0.0
20230106:0009,0.0,0.0,0.0,18.23,4.14,0.0
20230106:0109,0.0,0.0,0.0,18.13,4.21,0.0
20230106:0209,0.0,0.0,0.0,18.0,4.14,0.0
20230106:0309,0.0,0.0,0.0,17.93,4.07,0.0
20230106:0409,0.0,0.0,0.0,17.89,4.07,0.0
20230106:0509,0.0,0.0,0.0,17.86,4.21,0.0
20230106:0609,0.0,0.0,0.0,17.83,4.41,0.0
20230106:0709,0.0,0.0,0.0,17.84,4.62,0.0
20230106:0809,0.0,0.0,0.0,17.89,4.83,0.0
20230106:0909,892.05,231.26,12.61,17.97,4.9,0.0
20230106:1009,1913.7,470.9,22.8,18.29,3.93,0.0
20230106:1109,2725.3,672.3,31.18,18.42,3.93,0.0
20230106:1209,3189.85,793.86,36.89,18.46,3.93,0.0
20230106:1309,3556.1,891.06,39.01,18.43,4.0,0.0
20230106:1409,3598.25,899.7,37.11,18.39,4.14,0.0
20230106:1509,3215.3,795.98,31.58,18.33,4.21,0.0
20230106:1609,2328.1,572.12,23.32,18.3,4.07,0.0
20230106:1709,1243.7,317.53,13.21,18.26,3.86,0.0
20230106:1809,1.35,6.49,1.91,18.26,3.45,0.0
20230106:1909,0.0,0.0,0.0,18.26,3.17,0.0
20230106:2009,0.0,0.0,0.0,18.28,3.1,0.0
20230106:2109,0.0,0.0,0.0,18.29,3.38,0.0
20230106:2209,0.0,0.0,0.0,18.18,3.45,0.0
20230106:2309,0.0,0.0,0.0,18.21,3.52,0.0
20230107:0009,0.0,0.0,0.0,18.15,3.45,0.0
20230107:0109,0.0,0.0,0.0,18.08,3.31,0.0
20230107:0209,0.0,0.0,0.0,17.99,3.24,0.0
20230107:0309,0.0,0.0,0.0,17.99,3.03,0.0
20230107:0409,0.0,0.0,0.0,18.01,3.1,0.0
20230107:0509,0.0,0.0,0.0,18.01,3.17,0.0
20230107:0609,0.0,0.0,0.0,18.06,3.38,0.0
20230107:0709,0.0,0.0,0.0,18.06,3.66,0.0
20230107:0809,0.0,0.0,0.0,18.11,4.0,0.0
20230107:0909,1241.5,316.33,12.62,18.23,4.41,0.0
20230107:1009,2193.3,539.18,22.82,18.35,4.0,0.0
20230107:1109,2712.0,666.57,31.24,18.48,4.48,0.0
20230107:1209,3596.85,895.69,36.98,18.47,4.62,0.0
20230107:1309,3722.95,929.72,39.13,18.47,4.69,0.0
20230107:1409,3567.25,888.89,37.25,18.45,4.48,0.0
20230107:1509,3230.15,799.12,31.73,18.38,4.34,0.0
20230107:1609,2442.1,600.16,23.47,18.3,4.14,0.0
20230107:1709,1388.75,353.07,13.37,18.2,3.79,0.0
20230107:1809,3.15,7.42,2.06,18.2,3.66,0.0
20230107:1909,0.0,0.0,0.0,18.19,3.59,0.0
20230107:2009,0.0,0.0,0.0,18.2,3.52,0.0
20230107:2109,0.0,0.0,0.0,18.17,3.79,0.0
20230107:2209,0.0,0.0,0.0,18.34,3.72,0.0
20230107:2309,0.0,0.0,0.0,18.29,3.72,0.0
20230108:0009,0.0,0.0,0.0,18.22,3.72,0.0
20230108:0109,0.0,0.0,0.0,18.17,3.72,0.0
20230108:0209,0.0,0.0,0.0,18.1,3.72,0.0
20230108:0309,0.0,0.0,0.0,18.08,3.72,0.0
20230108:0409,0.0,0.0,0.0,18.01,3.79,0.0
20230108:0509,0.0,0.0,0.0,18.0,3.93,0.0
20230108:0609,0.0,0.0,0.0,17.94,3.86,0.0
20230108:0709,0.0,0.0,0.0,17.85,3.93,0.0
20230108:0809,0.0,0.0,0.0,17.88,4.07,0.0
20230108:0909,1218.35,310.42,12.62,17.96,4.34,0.0
20230108:1009,1929.65,474.99,22.85,18.06,3.66,0.0
20230108:1109,2669.25,658.39,31.3,18.15,3.72,0.0
20230108:1209,3623.2,909.55,37.08,18.15,3.72,0.0
20230108:1309,3901.45,984.12,39.26,18.09,3.93,0.0
20230108:1409,3688.45,924.03,37.41,18.05,4.0,0.0
20230108:1509,3300.05,817.78,31.89,18.09,4.14,0.0
20230108:1609,2478.7,608.31,23.63,18.13,4.28,0.0
20230108:1709,1433.75,363.3,13.52,18.13,4.21,0.0
20230108:1809,3.15,7.42,2.21,18.12,4.21,0.0
20230108:1909,0.0,0.0,0.0,18.12,4.28,0.0
20230108:2009,0.0,0.0,0.0,18.2,4.62,0.0
20230108:2109,0.0,0.0,0.0,18.29,4.9,0.0
20230108:2209,0.0,0.0,0.0,18.35,4.48,0.0
20230108:2309,0.0,0.0,0.0,18.4,4.21,0.0
20230109:0009,0.0,0.0,0.0,18.4,4.07,0.0
20230109:0109,0.0,0.0,0.0,18.31,4.07,0.0
20230109:0209,0.0,0.0,0.0,18.24,4.07,0.0
20230109:0309,0.0,0.0,0.0,18.16,4.28,0.0
20230109:0409,0.0,0.0,0.0,18.13,4.62,0.0
20230109:0509,0.0,0.0,0.0,18.15,5.03,0.0
20230109:0609,0.0,0.0,0.0,18.19,5.38,0.0
20230109:0709,0.0,0.0,0.0,18.22,5.72,0.0
20230109:0809,0.0,0.0,0.0,18.27,6.07,0.0
20230109:0909,1152.4,293.75,12.63,18.32,6.21,0.0
20230109:1009,1815.3,445.26,22.89,18.6,5.31,0.0
20230109:1109,2752.9,673.38,31.37,18.72,5.52,0.0
20230109:1209,3546.55,875.33,37.18,18.74,5.79,0.0
20230109:1309,3676.6,909.42,39.4,18.77,5.93,0.0
20230109:1409,2827.4,692.2,37.57,18.82,6.0,0.0
20230109:1509,2342.0,571.14,32.06,18.81,6.14,0.0
20230109:1609,2360.45,575.19,23.8,18.82,6.28,0.0
20230109:1709,1100.3,281.26,13.68,18.83,6.34,0.0
20230109:1809,3.15,7.42,2.36,18.84,6.41,0.0
20230109:1909,0.0,0.0,0.0,18.94,6.48,0.0
20230109:2009,0.0,0.0,0.0,19.02,6.69,0.0
20230109:2109,0.0,0.0,0.0,19.09,6.76,0.0
20230109:2209,0.0,0.0,0.0,19.24,5.86,0.0
20230109:2309,0.0,0.0,0.0,19.3,6.0,0.0
20230110:0009,0.0,0.0,0.0,19.25,6.55,0.0
20230110:0109,0.0,0.0,0.0,19.16,6.9,0.0
20230110:0209,0.0,0.0,0.0,19.11,6.9,0.0
20230110:0309,0.0,0.0,0.0,19.09,6.69,0.0
20230110:0409,0.0,0.0,0.0,19.06,6.69,0.0
20230110:0509,0.0,0.0,0.0,19.01,6.62,0.0
20230110:0609,0.0,0.0,0.0,19.0,6.21,0.0
20230110:0709,0.0,0.0,0.0,18.95,6.28,0.0
20230110:0809,0.0,0.0,0.0,18.83,6.76,0.0
20230110:0909,417.8,118.12,12.65,18.78,6.97,0.0
20230110:1009,528.1,143.65,22.93,18.57,7.17,0.0
20230110:1109,2278.0,551.95,31.44,18.52,7.52,0.0
20230110:1209,2272.1,552.4,37.29,18.42,7.1,0.0
20230110:1309,2915.9,710.06,39.55,18.29,6.83,0.0
20230110:1409,942.25,240.83,37.73,18.25,6.14,0.0
20230110:1509,2101.05,511.88,32.23,18.34,6.14,0.0
20230110:1609,966.2,245.53,23.97,18.42,6.07,0.0
20230110:1709,938.45,242.21,13.85,18.5,5.79,0.0
20230110:1809,3.15,7.42,2.52,18.57,5.79,0.0
20230110:1909,0.0,0.0,0.0,18.6,5.45,0.0
20230110:2009,0.0,0.0,0.0,18.63,5.31,0.0
20230110:2109,0.0,0.0,0.0,18.65,5.24,0.0
20230110:2209,0.0,0.0,0.0,18.68,4.62,0.0
20230110:2309,0.0,0.0,0.0,18.58,5.17,0.0
20230111:0009,0.0,0.0,0.0,18.45,5.72,0.0
20230111:0109,0.0,0.0,0.0,18.25,5.59,0.0
20230111:0209,0.0,0.0,0.0,18.22,5.52,0.0
20230111:0309,0.0,0.0,0.0,18.3,5.59,0.0
20230111:0409,0.0,0.0,0.0,18.38,5.72,0.0
20230111:0509,0.0,0.0,0.0,18.41,5.79,0.0
20230111:0609,0.0,0.0,0.0,18.26,5.66,0.0
20230111:0709,0.0,0.0,0.0,17.96,5.66,0.0
20230111:0809,0.0,0.0,0.0,17.55,5.52,0.0
20230111:0909,332.4,96.92,12.67,17.43,5.45,0.0
20230111:1009,507.6,138.82,22.98,18.42,6.28,0.0
20230111:1109,1691.55,414.8,31.52,18.5,6.34,0.0
20230111:1209,1489.4,369.12,37.41,18.56,5.79,0.0
20230111:1309,2562.4,628.34,39.7,18.62,5.38,0.0
20230111:1409,2561.6,628.65,37.9,18.74,5.17,0.0
20230111:1509,1443.35,357.95,32.41,18.79,5.72,0.0
20230111:1609,883.5,226.65,24.14,18.8,6.48,0.0
20230111:1709,881.85,227.92,14.01,18.24,7.1,0.0
20230111:1809,7.25,9.27,2.67,17.71,7.17,0.0
20230111:1909,0.0,0.0,0.0,17.75,7.38,0.0
20230111:2009,0.0,0.0,0.0,18.1,7.93,0.0
20230111:2109,0.0,0.0,0.0,18.04,8.41,0.0
20230111:2209,0.0,0.0,0.0,17.67,8.9,0.0
20230111:2309,0.0,0.0,0.0,17.66,9.1,0.0
20230112:0009,0.0,0.0,0.0,17.62,8.97,0.0
20230112:0109,0.0,0.0,0.0,17.75,8.97,0.0
20230112:0209,0.0,0.0,0.0,17.87,8.83,0.0
20230112:0309,0.0,0.0,0.0,18.07,8.76,0.0
20230112:0409,0.0,0.0,0.0,18.27,8.69,0.0
20230112:0509,0.0,0.0,0.0,18.43,8.48,0.0
20230112:0609,0.0,0.0,0.0,18.48,8.28,0.0
20230112:0709,0.0,0.0,0.0,18.36,8.28,0.0
20230112:0809,0.0,0.0,0.0,18.24,8.21,0.0
20230112:0909,1162.35,295.36,12.7,18.23,8.0,0.0
20230112:1009,1674.15,409.59,23.04,18.67,7.31,0.0
20230112:1109,2813.25,682.5,31.61,18.68,7.24,0.0
20230112:1209,2524.05,612.57,37.54,18.54,7.59,0.0
20230112:1309,2571.4,623.67,39.85,18.31,7.72,0.0
20230112:1409,3281.5,794.72,38.08,17.83,7.93,0.0
20230112:1509,3071.65,738.7,32.59,17.53,8.34,0.0
20230112:1609,2022.15,487.95,24.32,17.8,8.69,0.0
20230112:1709,1083.0,274.49,14.18,17.87,8.97,0.0
20230112:1809,9.45,10.2,2.83,17.99,9.52,0.0
20230112:1909,0.0,0.0,0.0,18.02,9.59,0.0
20230112:2009,0.0,0.0,0.0,18.01,9.52,0.0
20230112:2109,0.0,0.0,0.0,18.14,9.24,0.0
20230112:2209,0.0,0.0,0.0,17.99,9.59,0.0
20230112:2309,0.0,0.0,0.0,17.96,8.97,0.0
20230113:0009,0.0,0.0,0.0,17.92,8.14,0.0
20230113:0109,0.0,0.0,0.0,17.79,7.66,0.0
20230113:0209,0.0,0.0,0.0,17.73,7.38,0.0
20230113:0309,0.0,0.0,0.0,17.62,7.45,0.0
20230113:0409,0.0,0.0,0.0,17.55,7.52,0.0
20230113:0509,0.0,0.0,0.0,17.46,7.59,0.0
20230113:0609,0.0,0.0,0.0,17.52,7.72,0.0
20230113:0709,0.0,0.0,0.0,17.64,7.79,0.0
20230113:0809,0.0,0.0,0.0,17.67,8.0,0.0
20230113:0909,983.6,252.07,12.74,17.7,7.72,0.0
20230113:1009,1451.45,357.06,23.1,18.16,6.97,0.0
20230113:1109,2311.5,560.98,31.71,18.31,6.83,0.0
20230113:1209,1673.7,411.43,37.67,18.46,6.76,0.0
20230113:1309,1108.4,279.8,40.02,18.55,6.9,0.0
20230113:1409,512.1,140.04,38.26,18.59,6.83,0.0
20230113:1509,1508.55,371.97,32.78,18.59,6.97,0.0
20230113:1609,1309.2,324.55,24.5,18.57,7.31,0.0
20230113:1709,402.9,114.18,14.35,18.57,7.45,0.0
20230113:1809,11.7,11.13,3.0,18.67,7.38,0.0
20230113:1909,0.0,0.0,0.0,18.79,7.31,0.0
20230113:2009,0.0,0.0,0.0,18.95,7.72,0.0
20230113:2109,0.0,0.0,0.0,19.02,8.21,0.0
20230113:2209,0.0,0.0,0.0,18.98,7.72,0.0
20230113:2309,0.0,0.0,0.0,18.82,7.93,0.0
20230114:0009,0.0,0.0,0.0,18.85,7.66,0.0
20230114:0109,0.0,0.0,0.0,18.89,7.45,0.0
20230114:0209,0.0,0.0,0.0,18.93,7.45,0.0
20230114:0309,0.0,0.0,0.0,18.92,7.79,0.0
20230114:0409,0.0,0.0,0.0,18.87,8.21,0.0
20230114:0509,0.0,0.0,0.0,18.78,8.48,0.0
20230114:0609,0.0,0.0,0.0,18.74,8.41,0.0
20230114:0709,0.0,0.0,0.0,18.7,8.21,0.0
20230114:0809,0.0,0.0,0.0,18.67,7.66,0.0
20230114:0909,423.9,119.55,12.77,18.68,6.97,0.0
20230114:1009,985.7,250.64,23.17,18.56,4.97,0.0
20230114:1109,1790.5,439.79,31.81,18.65,5.45,0.0
20230114:1209,2886.9,708.01,37.81,18.69,5.66,0.0
20230114:1309,3850.65,957.38,40.19,18.7,5.59,0.0
20230114:1409,3689.75,913.39,38.45,18.68,5.66,0.0
20230114:1509,3308.25,812.21,32.97,18.68,5.72,0.0
20230114:1609,2504.1,611.56,24.69,18.65,5.52,0.0
20230114:1709,1461.3,368.38,14.53,18.65,5.38,0.0
20230114:1809,19.05,13.91,3.16,18.63,5.45,0.0
20230114:1909,0.0,0.0,0.0,18.7,5.45,0.0
20230114:2009,0.0,0.0,0.0,18.67,5.45,0.0
20230114:2109,0.0,0.0,0.0,18.59,5.38,0.0
20230114:2209,0.0,0.0,0.0,18.68,3.86,0.0
20230114:2309,0.0,0.0,0.0,18.6,4.0,0.0
20230115:0009,0.0,0.0,0.0,18.52,4.0,0.0
20230115:0109,0.0,0.0,0.0,18.43,3.86,0.0
20230115:0209,0.0,0.0,0.0,18.34,4.07,0.0
20230115:0309,0.0,0.0,0.0,18.26,4.34,0.0
20230115:0409,0.0,0.0,0.0,18.22,4.69,0.0
20230115:0509,0.0,0.0,0.0,18.14,5.1,0.0
20230115:0609,0.0,0.0,0.0,18.13,5.79,0.0
20230115:0709,0.0,0.0,0.0,18.08,6.48,0.0
20230115:0809,0.0,0.0,0.0,18.03,6.76,0.0
20230115:0909,360.15,103.82,12.82,18.06,6.97,0.0
20230115:1009,1755.15,428.51,23.24,18.07,6.41,0.0
20230115:1109,2903.75,703.19,31.91,18.0,7.03,0.0
20230115:1209,3256.15,790.61,37.95,17.99,7.52,0.0
20230115:1309,3574.85,869.47,40.37,17.92,7.93,0.0
20230115:1409,3062.85,741.21,38.65,17.88,7.93,0.0
20230115:1509,2695.7,650.12,33.17,17.78,7.79,0.0
20230115:1609,2305.6,556.86,24.88,17.88,7.52,0.0
20230115:1709,1399.4,350.68,14.71,17.9,6.76,0.0
20230115:1809,21.75,14.83,3.33,17.9,5.93,0.0
20230115:1909,0.0,0.0,0.0,17.86,5.17,0.0
20230115:2009,0.0,0.0,0.0,17.87,4.62,0.0
20230115:2109,0.0,0.0,0.0,17.86,4.0,0.0
20230115:2209,0.0,0.0,0.0,17.85,3.52,0.0
20230115:2309,0.0,0.0,0.0,17.9,5.03,0.0
20230116:0009,0.0,0.0,0.0,17.88,6.28,0.0
20230116:0109,0.0,0.0,0.0,17.81,7.17,0.0
20230116:0209,0.0,0.0,0.0,17.71,7.31,0.0
20230116:0309,0.0,0.0,0.0,17.71,7.1,0.0
20230116:0409,0.0,0.0,0.0,17.77,6.76,0.0
20230116:0509,0.0,0.0,0.0,17.85,6.34,0.0
20230116:0609,0.0,0.0,0.0,17.88,6.34,0.0
20230116:0709,0.0,0.0,0.0,17.92,6.34,0.0
20230116:0809,0.0,0.0,0.0,17.97,6.34,0.0
20230116:0909,1266.55,321.38,12.87,18.08,6.34,0.0
20230116:1009,1851.5,452.82,23.32,18.3,5.66,0.0
20230116:1109,2548.45,621.15,32.03,18.33,5.72,0.0
20230116:1209,3227.25,791.62,38.1,18.3,5.86,0.0
20230116:1309,3003.0,735.75,40.55,18.2,5.79,0.0
20230116:1409,3585.2,885.3,38.85,18.14,5.45,0.0
20230116:1509,3175.4,777.69,33.37,18.1,5.45,0.0
20230116:1609,2546.4,619.31,25.07,18.11,5.86,0.0
20230116:1709,1582.05,395.5,14.89,18.08,6.28,0.0
20230116:1809,27.15,16.69,3.5,18.05,6.55,0.0
20230116:1909,0.0,0.0,0.0,17.96,6.76,0.0
20230116:2009,0.0,0.0,0.0,17.91,6.76,0.0
20230116:2109,0.0,0.0,0.0,17.94,6.21,0.0
20230116:2209,0.0,0.0,0.0,18.08,4.34,0.0
20230116:2309,0.0,0.0,0.0,18.07,4.48,0.0
20230117:0009,0.0,0.0,0.0,18.19,4.83,0.0
20230117:0109,0.0,0.0,0.0,18.28,4.34,0.0
20230117:0209,0.0,0.0,0.0,18.09,5.17,0.0
20230117:0309,0.0,0.0,0.0,17.57,6.28,0.0
20230117:0409,0.0,0.0,0.0,17.09,6.9,0.0
20230117:0509,0.0,0.0,0.0,16.95,7.03,0.0
20230117:0609,0.0,0.0,0.0,17.02,7.03,0.0
20230117:0709,0.0,0.0,0.0,17.1,6.83,0.0
20230117:0809,0.0,0.0,0.0,17.03,6.62,0.0
20230117:0909,1309.2,330.25,12.93,17.0,6.21,0.0
20230117:1009,1701.1,415.53,23.4,16.97,4.97,0.0
20230117:1109,1087.25,273.13,32.15,17.04,5.24,0.0
20230117:1209,2738.0,665.73,38.26,17.15,5.72,0.0
20230117:1309,1254.7,312.62,40.74,17.22,6.0,0.0
20230117:1409,3450.7,841.49,39.06,17.39,6.55,0.0
20230117:1509,1780.15,432.93,33.58,17.16,6.83,0.0
20230117:1609,2274.3,548.88,25.27,17.14,6.76,0.0
20230117:1709,360.15,103.27,15.07,17.19,6.69,0.0
20230117:1809,27.3,16.69,3.67,17.16,6.76,0.0
20230117:1909,0.0,0.0,0.0,17.23,6.9,0.0
20230117:2009,0.0,0.0,0.0,17.32,6.9,0.0
20230117:2109,0.0,0.0,0.0,17.41,6.55,0.0
20230117:2209,0.0,0.0,0.0,17.38,4.69,0.0
20230117:2309,0.0,0.0,0.0,17.4,4.48,0.0
20230118:0009,0.0,0.0,0.0,17.37,4.97,0.0
20230118:0109,0.0,0.0,0.0,17.37,5.31,0.0
20230118:0209,0.0,0.0,0.0,17.4,5.66,0.0
20230118:0309,0.0,0.0,0.0,17.33,6.07,0.0
20230118:0409,0.0,0.0,0.0,17.12,6.28,0.0
20230118:0509,0.0,0.0,0.0,17.09,6.62,0.0
20230118:0609,0.0,0.0,0.0,17.28,7.17,0.0
20230118:0709,0.0,0.0,0.0,17.48,7.17,0.0
20230118:0809,0.0,0.0,0.0,17.69,6.55,0.0
20230118:0909,587.6,158.02,12.99,17.32,6.41,0.0
20230118:1009,1019.0,257.16,23.49,17.23,4.55,0.0
20230118:1109,2552.65,622.67,32.28,17.11,4.48,0.0
20230118:1209,3526.55,863.81,38.43,17.13,5.72,0.0
20230118:1309,3396.45,828.76,40.94,16.95,6.14,0.0
20230118:1409,2475.5,599.55,39.27,17.24,6.69,0.0
20230118:1509,1009.65,255.02,33.79,17.55,7.31,0.0
20230118:1609,1427.6,350.03,25.47,17.67,8.28,0.0
20230118:1709,748.85,195.25,15.26,17.79,8.9,0.0
20230118:1809,24.45,15.76,3.84,17.74,8.76,0.0
20230118:1909,0.0,0.0,0.0,17.71,8.34,0.0
20230118:2009,0.0,0.0,0.0,17.8,8.07,0.0
20230118:2109,0.0,0.0,0.0,17.84,7.79,0.0
20230118:2209,0.0,0.0,0.0,17.83,8.9,0.0
20230118:2309,0.0,0.0,0.0,17.64,8.55,0.0
20230119:0009,0.0,0.0,0.0,17.49,8.62,0.0
20230119:0109,0.0,0.0,0.0,17.32,8.48,0.0
20230119:0209,0.0,0.0,0.0,17.18,8.34,0.0
20230119:0309,0.0,0.0,0.0,17.07,8.41,0.0
